"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0211888452480848,5,277,7.1542318491777,"Organic acid metabolic process","http://amigo.geneontology.org/amigo/term/GO:0006082","ME6 OsJ_12241 DAHPS2 OsJ_29962 ENO1"
0.0211888452480848,3,39,30.4880341880342,"Pyruvate metabolic process","http://amigo.geneontology.org/amigo/term/GO:0006090","ME6 OsJ_29962 ENO1"
0.0211888452480848,3,56,21.2327380952381,"Intracellular protein transport","http://amigo.geneontology.org/amigo/term/GO:0006886","RIC1 OsJ_03844 OS05T0155601-00"
0.0211888452480848,17,2743,2.4563819014056,"Cellular process","http://amigo.geneontology.org/amigo/term/GO:0009987","ME6 SAM2 RIC1 OsJ_03844 APX1 OsJ_12241 ARP7 CPX OS05T0155601-00 CESA1 OS05T0557000-01 NAP1;1 OsJ_24862 DAHPS2 OsJ_29962 ENO1 OS12T0611200-01"
0.0211888452480848,5,268,7.39448590381426,"Carboxylic acid metabolic process","http://amigo.geneontology.org/amigo/term/GO:0019752","ME6 OsJ_12241 DAHPS2 OsJ_29962 ENO1"
0.0211888452480848,4,142,11.1646322378717,"Monocarboxylic acid metabolic process","http://amigo.geneontology.org/amigo/term/GO:0032787","ME6 OsJ_12241 OsJ_29962 ENO1"
0.0211888452480848,3,61,19.492349726776,"Cellular protein localization","http://amigo.geneontology.org/amigo/term/GO:0034613","RIC1 OsJ_03844 OS05T0155601-00"
0.0211888452480848,5,276,7.18015297906602,"Oxoacid metabolic process","http://amigo.geneontology.org/amigo/term/GO:0043436","ME6 OsJ_12241 DAHPS2 OsJ_29962 ENO1"
0.0211888452480848,6,429,5.54327894327894,"Small molecule metabolic process","http://amigo.geneontology.org/amigo/term/GO:0044281","ME6 SAM2 OsJ_12241 DAHPS2 OsJ_29962 ENO1"
0.0211888452480848,3,69,17.2323671497585,"Intracellular transport","http://amigo.geneontology.org/amigo/term/GO:0046907","RIC1 OsJ_03844 OS05T0155601-00"
0.0211888452480848,3,62,19.1779569892473,"Cellular macromolecule localization","http://amigo.geneontology.org/amigo/term/GO:0070727","RIC1 OsJ_03844 OS05T0155601-00"
0.0221116793239173,3,74,16.068018018018,"Establishment of localization in cell","http://amigo.geneontology.org/amigo/term/GO:0051649","RIC1 OsJ_03844 OS05T0155601-00"
0.0229594326664933,3,91,13.0663003663004,"Protein localization","http://amigo.geneontology.org/amigo/term/GO:0008104","RIC1 OsJ_03844 OS05T0155601-00"
0.0229594326664933,3,86,13.8259689922481,"Protein transport","http://amigo.geneontology.org/amigo/term/GO:0015031","RIC1 OsJ_03844 OS05T0155601-00"
0.0229594326664933,3,86,13.8259689922481,"Peptide transport","http://amigo.geneontology.org/amigo/term/GO:0015833","RIC1 OsJ_03844 OS05T0155601-00"
0.0229594326664933,3,88,13.5117424242424,"Amide transport","http://amigo.geneontology.org/amigo/term/GO:0042886","RIC1 OsJ_03844 OS05T0155601-00"
0.0229594326664933,2,23,34.4647342995169,"Dicarboxylic acid metabolic process","http://amigo.geneontology.org/amigo/term/GO:0043648","ME6 DAHPS2"
0.0229594326664933,12,1731,2.747621798575,"Cellular metabolic process","http://amigo.geneontology.org/amigo/term/GO:0044237","ME6 SAM2 APX1 OsJ_12241 CPX CESA1 OS05T0557000-01 OsJ_24862 DAHPS2 OsJ_29962 ENO1 OS12T0611200-01"
0.0229594326664933,3,86,13.8259689922481,"Establishment of protein localization","http://amigo.geneontology.org/amigo/term/GO:0045184","RIC1 OsJ_03844 OS05T0155601-00"
0.0229594326664933,3,88,13.5117424242424,"Cellular localization","http://amigo.geneontology.org/amigo/term/GO:0051641","RIC1 OsJ_03844 OS05T0155601-00"
0.0229594326664933,6,477,4.98546470999301,"Oxidation-reduction process","http://amigo.geneontology.org/amigo/term/GO:0055114","ME6 APX1 OsJ_12241 CPX OsJ_24862 OsJ_29962"
0.0258585041039187,7,694,3.99771053474224,"Cellular biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0044249","SAM2 OsJ_12241 CPX CESA1 OS05T0557000-01 DAHPS2 OsJ_29962"
0.0282119122258186,2,29,27.3340996168582,"Glycolytic process","http://amigo.geneontology.org/amigo/term/GO:0006096","OsJ_29962 ENO1"
0.0282119122258186,2,29,27.3340996168582,"ATP generation from ADP","http://amigo.geneontology.org/amigo/term/GO:0006757","OsJ_29962 ENO1"
0.0282119122258186,2,29,27.3340996168582,"ADP metabolic process","http://amigo.geneontology.org/amigo/term/GO:0046031","OsJ_29962 ENO1"
0.0282119122258186,7,723,3.83735976640541,"Organic substance biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:1901576","SAM2 OsJ_12241 CPX CESA1 OS05T0557000-01 DAHPS2 OsJ_29962"
0.0299055843355652,2,31,25.5706093189964,"Purine nucleoside diphosphate metabolic process","http://amigo.geneontology.org/amigo/term/GO:0009135","OsJ_29962 ENO1"
0.0299055843355652,2,31,25.5706093189964,"Purine ribonucleoside diphosphate metabolic process","http://amigo.geneontology.org/amigo/term/GO:0009179","OsJ_29962 ENO1"
0.0304630650008775,2,34,23.3143790849673,"Nucleoside diphosphate phosphorylation","http://amigo.geneontology.org/amigo/term/GO:0006165","OsJ_29962 ENO1"
0.0304630650008775,7,752,3.68937647754137,"Biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0009058","SAM2 OsJ_12241 CPX CESA1 OS05T0557000-01 DAHPS2 OsJ_29962"
